frame	tc_in	dur_s	act	label	seed_group	burn_in	move	prompt	full_prompt	negative_prompt
11	1:37.0	8.0	2	What is left	ROOM	BOOK VALUE £30M	slow pull back	Wide of a dark wooden floor with three squares of window light remaining and the unlit half of the room dominant in frame, a single worn unbranded boot at the edge of the nearest square	Wide of a dark wooden floor with three squares of window light remaining and the unlit half of the room dominant in frame, a single worn unbranded boot at the edge of the nearest square. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
12	1:45.0	10.0	2	Eight-year trick	ROOM	£50M / 8 YEARS = £6.25M PER YEAR	slow drift back along the row	Eight narrow squares of window light stretched across a dark wooden floor, fainter and running much further back into the darkness than a short row would, same window and hour	Eight narrow squares of window light stretched across a dark wooden floor, fainter and running much further back into the darkness than a short row would, same window and hour. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
13	1:55.0	9.0	2	The cap	ROOM	CAPPED AT 5 YEARS	locked off	A window blind lowered halfway, cutting the light on the floor back to a short block, hard edge where the shadow begins, dark wooden floor	A window blind lowered halfway, cutting the light on the floor back to a short block, hard edge where the shadow begins, dark wooden floor. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
14	2:04.0	9.0	2	The sale	DESK ANCHOR	SOLD £40M	slow rise	Two stacks of plain unmarked paper on a dark desk, one slightly taller than the other, side by side, hard side light throwing a long shadow, clean empty space above both	Two stacks of plain unmarked paper on a dark desk, one slightly taller than the other, side by side, hard side light throwing a long shadow, clean empty space above both. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
15	2:13.0	9.0	2	The gap	DESK	£40M - £30M = £10M PROFIT	very slow push in on the gap	Close on the gap between the tops of two stacks of plain paper, the difference in height filling the centre of frame, deep shadow behind, everything else out of focus	Close on the gap between the tops of two stacks of plain paper, the difference in height filling the centre of frame, deep shadow behind, everything else out of focus. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
16	2:22.0	9.0	3	The kid	GROUND ANCHOR	ACADEMY · 10 YEARS	slow lateral drift left to right	Wide of an empty academy training pitch at first light, grass heavy with dew, faint worn tracks along the touchline, small portable goals at the far end, low mist, a line of unlit floodlight pylons against flat grey sky, no people, plain white lines only	Wide of an empty academy training pitch at first light, grass heavy with dew, faint worn tracks along the touchline, small portable goals at the far end, low mist, a line of unlit floodlight pylons against flat grey sky, no people, plain white lines only. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
17	2:31.0	10.0	3	No fee		COST TO SIGN £0	slow push in	A plain unbranded kit bag on a changing room bench, zipped shut, worn at the corners, a blank paper luggage tag tied to the handle with nothing written on it, cold window light from above, bench and floor in shadow	A plain unbranded kit bag on a changing room bench, zipped shut, worn at the corners, a blank paper luggage tag tied to the handle with nothing written on it, cold window light from above, bench and floor in shadow. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
18	2:41.0	10.0	3	Nothing to write down			slow push in to fill frame	A completely blank sheet of paper filling the frame, no ruling and nothing written, faint fibre texture, cold light	A completely blank sheet of paper filling the frame, no ruling and nothing written, faint fibre texture, cold light. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
19	2:51.0	9.0	3	Zero		BOOK VALUE £0	very slow push toward opening	An open floor safe, entirely empty, interior lit by a single cold source, heavy door swung back, thick steel edge in the foreground	An open floor safe, entirely empty, interior lit by a single cold source, heavy door swung back, thick steel edge in the foreground. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
20	3:00.0	10.0	4	Every pound	DESK		slow rise	A single stack of plain paper standing alone on a dark desk with nothing beside it, hard side light, long shadow	A single stack of plain paper standing alone on a dark desk with nothing beside it, hard side light, long shadow. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
21	3:10.0	6.0	4	THE COLLISION	RAIL ANCHOR	ACADEMY  £40M -> £40M	locked off, holds through beat 22	Two unbranded football shirts hanging side by side on a plain rail against a dark wall, identical in cut and colour, lit evenly and straight on, symmetrical, generous empty wall either side	Two unbranded football shirts hanging side by side on a plain rail against a dark wall, identical in cut and colour, lit evenly and straight on, symmetrical, generous empty wall either side. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
22	3:16.0	5.0	4	THE COLLISION completes	RAIL REUSE	SIGNING  £40M -> £10M  (21 stays on screen)	locked off	REUSE THE FRAME 21 RENDER - do not generate. Same two shirts held while the second number burns in beneath the first		
23	3:21.0	10.0	4	Same player			extremely slow rotation	Overhead top-down of a single sheet of ruled paper on a dark desk, one horizontal line drawn across it in ink, otherwise empty, hard raking light from the left	Overhead top-down of a single sheet of ruled paper on a dark desk, one horizontal line drawn across it in ink, otherwise empty, hard raking light from the left. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
24	3:31.0	7.0	4	Four times	DESK	4x	slow drift along the four	Four identical stacks of plain paper in a row beside one lone stack of the same height on a dark desk, hard side light, long parallel shadows	Four identical stacks of plain paper in a row beside one lone stack of the same height on a dark desk, hard side light, long parallel shadows. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
25	3:38.0	8.0	4	Not a football decision	RAIL		locked off	A plain rail against a dark wall with one unbranded football shirt hanging and one bare hanger beside it where a second shirt was, even frontal light	A plain rail against a dark wall with one unbranded football shirt hanging and one bare hanger beside it where a second shirt was, even frontal light. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
26	3:46.0	10.0	5	The accounts			slow push in on the proud folder	A filing cabinet drawer pulled fully open, tight rows of plain unlabelled folders, one standing slightly proud of the rest, cold overhead light	A filing cabinet drawer pulled fully open, tight rows of plain unlabelled folders, one standing slightly proud of the rest, cold overhead light. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
27	3:56.0	10.0	5	The rule		-£105M OVER 3 SEASONS	very slow push in	Three identical plain folders standing in a row on a dark shelf with a single hard horizontal line marked on the wall just above them, cold overhead light, deep shadow either side	Three identical plain folders standing in a row on a dark shelf with a single hard horizontal line marked on the wall just above them, cold overhead light, deep shadow either side. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
28	4:06.0	9.0	5	Points gone		POINTS DEDUCTION	slow push in on the struck rows	A vertical ruled list on plain paper pinned to a dark board, two of the rows struck through with hard ink lines and the rest untouched, cold raking light from the left	A vertical ruled list on plain paper pinned to a dark board, two of the rows struck through with hard ink lines and the rest untouched, cold raking light from the left. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
29	4:15.0	10.0	5	The deadline			very slow push in on the dark square	A wall calendar with a ruled and completely blank grid, one square shaded darker than the rest near the end of a row, flat frontal light, plain wall	A wall calendar with a ruled and completely blank grid, one square shaded darker than the rest near the end of a row, flat frontal light, plain wall. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
30	4:25.0	11.0	5	Which one you sell	DESK	£10M GAIN  vs  £40M PROFIT	slow push in settling on the banded stack	Two stacks of plain paper on a dark desk separated by a hand width of empty surface, only one still banded, hard side light	Two stacks of plain paper on a dark desk separated by a hand width of empty surface, only one still banded, hard side light. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
31	4:36.0	10.0	5	Right side of the deadline		SOLD · 30 JUNE	very slow push in	A sealed plain envelope alone on a dark desk beneath a lamp, crisp edge, nothing written on it, deep shadow beyond the pool of light	A sealed plain envelope alone on a dark desk beneath a lamp, crisp edge, nothing written on it, deep shadow beyond the pool of light. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
32	4:46.0	6.0	6	Never a pathway	GROUND		slow push toward the light	The view from the mouth of a dark players tunnel onto bright empty grass, framed in a hard black rectangle, nobody in the tunnel and nobody on the pitch	The view from the mouth of a dark players tunnel onto bright empty grass, framed in a hard black rectangle, nobody in the tunnel and nobody on the pitch. Photographic, cinematic still, 9:16 vertical, shallow depth of field, desaturated greys and greens, overcast natural light, one warm practical source, film grain, no text anywhere in frame.	facial features, eyes, mouth, nose, lips, face, portrait, club badge, crest, emblem, sponsor logo, kit manufacturer logo, competition logo, nameset, shirt number, recognisable footballer, celebrity likeness, identifiable stadium, broadcast overlay, scoreboard graphics, text, lettering, numbers, logos, brand names, watermark, signature, cartoon outlines, cel shading, flat vector, anime, 2D illustration, distorted hands, extra fingers, extra limbs, camera shake, blurry, low resolution, oversaturated, plastic sheen, uncanny, stock-photo smiles, crowd celebration, confetti
