shot_id,section,tc_est,hold_seconds_est,prompt,negative_prompt,aspect_ratio,seed_group,notes,status,output_url
11,3 Contrast,1:55,35,"weathered stone counter in a narrow shaded street of mud-brick and palm-timber, hanging woven cloth, dust in shafts of light, a set of small brass balance scales, plain silver coin blanks in one pan, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins, minted design, portrait on coin, engraved currency, roman emperor bust",16:9,coins,Models stamp faces on coins. Verify blank.,,
12,3 Contrast,2:15,35,"close-up of a brass balance tipping hard to one side, the light pan lifted high, deep shadow behind, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins, minted design",16:9,coins,,,
13,3 Contrast,2:30,35,"two piles of identical plain silver coin blanks on dark wood, one small and one enormous, hard side light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins, minted design, portrait on coin",16:9,coins,The doubling. Exaggerate the size gap.,,
14,4 Guardrail,2:50,40,"empty stone room with a single high window, one shaft of dusty light falling on the floor, nothing else in frame, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
15,5 Longest verse,3:25,40,"overhead of a thick stack of blank cream parchment leaves on a wooden lectern, uneven edges, warm lamplight, no writing of any kind on any leaf, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink marks, manuscript text",16:9,paper,Blank is the whole point.,,
16,5 Longest verse,3:40,35,"extreme close-up of the gutter of an open blank codex, deep shadow in the fold, gilded edge catching light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink marks",16:9,paper,,,
17,5 Longest verse,3:55,35,"a sheet of coarse pale papyrus on a low wooden board, a reed pen and a small clay ink pot beside it, surface left completely blank with no marks, shot top-down, reed pen resting across the blank sheet, clay ink pot half full, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink marks",16:9,paper,,,
18,6 Mechanics,4:15,35,"weathered sun-darkened hands, forearms in undyed coarse linen, no face and nothing above the chest in frame cutting a reed pen nib with a small blade, shallow focus, warm side light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
19,6 Mechanics,4:30,25,"weathered sun-darkened hands, forearms in undyed coarse linen, no face and nothing above the chest in frame holding a stoppered clay ink pot up to the light, the ink surface catching a highlight, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
20,6 Mechanics,4:45,40,"two pairs of weathered sun-darkened hands, forearms in undyed coarse linen, no face and nothing above the chest in frame across a low table, one gesturing mid-speech, the other poised over a blank sheet with a reed pen, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink marks",16:9,paper,The debtor dictates. Gesturing hands must read as the speaker.,,
21,6 Mechanics,5:00,40,"wide of a narrow shaded street of mud-brick and palm-timber, hanging woven cloth, dust in shafts of light at midday with four anonymous distant figures standing in a loose circle, all far enough that no facial features resolve, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, face, portrait, close figure",16:9,,,,
22,6 Mechanics,5:15,35,"a single blank sheet of papyrus weighted at four corners with small river stones, wind lifting one edge, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing, ink marks",16:9,paper,,,
23,7 Centrepiece,5:35,40,"weathered sun-darkened hands, forearms in undyed coarse linen, no face and nothing above the chest in frame, empty, palms up and open, resting on a knee, worn and cracked, soft window light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
24,7 Centrepiece,5:50,40,"a doorway of a mud-brick house seen from inside, a long shadow falling across the threshold from outside, the person casting it entirely out of frame, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
25,7 Centrepiece,6:10,35,"a rolled document tied with cord, held loosely in one hand at the side of the body, background out of focus, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing",16:9,paper,,,
26,7 Centrepiece,6:30,35,"the same rolled document being set down on a table, the hand withdrawing, motion blur on the fingers, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, script, writing",16:9,paper,"Follows 25 — same document, same seed.",,
27,8 Tension,6:50,35,"plain silver coins being counted back into an open palm, warm light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins, minted design, portrait on coin",16:9,coins,The principal returns.,,
28,8 Tension,7:15,40,"a perfectly level brass balance, both pans equal and centred, clean symmetrical composition, dark background, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, stamped coins",16:9,coins,La tazlimuna wa la tuzlamun. Symmetry is the meaning.,,
29,9 Anchor,7:40,40,"rain falling on dry ground in low golden light, backlit droplets, the earth darkening in patches, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,rain,,,
30,9 Anchor,8:00,35,"macro of a young shoot pushing up through cracked earth, dew on it, very shallow focus, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,rain,,,
31,10 Institution,8:35,45,"eight identical small clay bowls arranged in a row on a stone ledge, each holding a different amount of grain, shot top-down, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, seven bowls, nine bowls",16:9,,EIGHT bowls exactly — the zakat categories. Count them. Reused in section 22.,,
32,10 Institution,9:00,35,"a coarse woven sack of grain, mouth open, tipped slightly, grain spilling onto a stone floor, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
33,10 Institution,9:20,35,"macro of a heavy iron chain link resting on stone, rust and pitting, one link catching the light, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare, full chain, shackles, prisoner",16:9,,"Gharam = clinging. One link, not a chain.",,
34,11 Rigour,9:45,35,"a closed wooden door with heavy iron fittings, seen straight on, hard shadow, nobody present, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
35,13 Staircase,11:00,40,"a stone stairway descending into shadow inside a mud-brick building, each step worn hollow in the centre, cinematic still, anamorphic 35mm, shallow depth of field, warm low-angle desert light, airborne dust catching the sun, muted earth palette of ochre sand bone and oxidised brass with deep indigo shadow, soft natural film grain, high dynamic range, restrained painterly photographic realism, historically grounded 7th-century Hijaz, no text, no arabic script, no calligraphy, no lettering, no watermark","text, letters, arabic script, calligraphy, pseudo-arabic, numerals, signage, watermark, logo, human face, portrait, figure in foreground, prophet, religious figure, halo, glowing person, statue, idol, crucifix, modern clothing, wristwatch, plastic, eyeglasses, power lines, vehicles, anachronistic architecture, extra fingers, deformed hands, cartoon, anime, neon, oversaturated, HDR halo, lens flare",16:9,,,,
